Nombre,Precio120Min,Precio90Min,Longitud,PlazasResidentes,Latitud,Precio180Min,Precio15Min,PlazasTotales,PlazasResidentesLibres,NombreParaURI,PlazasRotatoriasLibres,Precio30Min,PlazasRotatorias,Tipo,Precio300Min,Precio60Min
Antiguo Berri,4.10,3.10,-2.007963,0,43.310188,6,0.60,489,0,Antiguo-Berri,0,1.35,489,Rotatorio,15.85,2.25
Arcco,3.37,2.60,-1.97371,0,43.30563,4.91,0.59,214,0,Arcco,0,1.00,214,Rotatorio,21.54,1.80
Atotxa,3.72,2.87,-1.97548,0,43.31855,5.47,0.66,210,0,Atotxa,84,1.10,210,Rotatorio,24.57,1.99
Boulevard,4.49,3.47,-1.98192,135,43.32283,6.56,0.79,516,0,Boulevard,173,1.33,381,Mixto,24.57,2.40
Buen Pastor,3.72,2.87,-1.98102,583,43.31715,5.47,0.66,967,1,Buen-Pastor,375,1.10,384,Mixto,24.57,1.99
Easo,3.72,2.87,-1.982078,266,43.313157,5.47,0.66,412,0,Easo,85,1.10,146,Mixto,24.57,1.99
Illumbe,2.80,2.20,-1.97004,0,43.29809,4.30,0.50,500,0,Illumbe,0,0.75,500,Rotatorio,19.50,1.50
Katalunia,3.72,2.87,-1.975168,483,43.323848,5.47,0.66,939,84,Katalunia,235,1.10,456,Mixto,24.57,1.99
Kontxa,4.46,3.45,-1.984886,619,43.318622,6.56,0.79,1274,87,Kontxa,388,1.32,655,Mixto,24.57,2.38
Kursaal,4.46,3.45,-1.97728,200,43.32468,6.56,0.79,500,0,Kursaal,182,1.32,300,Mixto,24.57,2.38
Okendo,4.46,3.45,-1.979149,744,43.321110,6.56,0.79,1492,27,Okendo,381,1.32,748,Mixto,24.57,2.38
Pio XII,3.35,2.59,-1.978186,181,43.307806,4.88,0.59,520,16,Pio-XII,163,0.99,339,Mixto,21.50,1.79
San Martin,4.46,3.45,-1.983371,300,43.317876,6.56,0.79,600,2,San-Martin,128,1.32,300,Mixto,24.57,2.38
Txofre,3.72,2.87,-1.97080,0,43.32446,5.47,0.66,465,0,Txofre,53,1.10,465,Rotatorio,24.57,1.99
Zuatzu,2.46,1.89,-2.01113,0,43.29541,3.69,0.33,402,0,Zuatzu,0,0.66,402,Rotatorio,16.40,1.23

