fecha,riesgo,hora,temperatura,nivel,horaParaUri,horafecha
2018-01-09,No hay riesgo,15:00,0.6894,0.6894,15-00,2018-01-09T15:00:00Z
2018-01-09,No hay riesgo,14:50,0.7072,0.7072,14-50,2018-01-09T14:50:00Z
2018-01-09,No hay riesgo,14:40,0.728,0.728,14-40,2018-01-09T14:40:00Z
2018-01-09,No hay riesgo,14:30,0.7607,0.7607,14-30,2018-01-09T14:30:00Z
2018-01-09,No hay riesgo,14:20,0.7936,0.7936,14-20,2018-01-09T14:20:00Z
2018-01-09,No hay riesgo,14:10,0.83,0.83,14-10,2018-01-09T14:10:00Z
2018-01-09,No hay riesgo,14:00,0.863,0.863,14-00,2018-01-09T14:00:00Z
2018-01-09,No hay riesgo,13:50,0.903,0.903,13-50,2018-01-09T13:50:00Z
2018-01-09,No hay riesgo,13:40,0.945,0.945,13-40,2018-01-09T13:40:00Z
2018-01-09,No hay riesgo,13:30,0.998,0.998,13-30,2018-01-09T13:30:00Z
2018-01-09,No hay riesgo,13:20,1.041,1.041,13-20,2018-01-09T13:20:00Z
2018-01-09,No hay riesgo,13:10,1.086,1.086,13-10,2018-01-09T13:10:00Z
2018-01-09,No hay riesgo,13:00,1.135,1.135,13-00,2018-01-09T13:00:00Z
2018-01-09,No hay riesgo,12:50,1.183,1.183,12-50,2018-01-09T12:50:00Z
2018-01-09,No hay riesgo,12:40,1.236,1.236,12-40,2018-01-09T12:40:00Z
2018-01-09,No hay riesgo,12:30,1.279,1.279,12-30,2018-01-09T12:30:00Z
2018-01-09,No hay riesgo,12:20,1.32,1.32,12-20,2018-01-09T12:20:00Z
2018-01-09,No hay riesgo,12:10,1.36,1.36,12-10,2018-01-09T12:10:00Z
2018-01-09,No hay riesgo,12:00,1.397,1.397,12-00,2018-01-09T12:00:00Z
2018-01-09,No hay riesgo,11:50,1.432,1.432,11-50,2018-01-09T11:50:00Z
2018-01-09,No hay riesgo,11:40,1.471,1.471,11-40,2018-01-09T11:40:00Z
2018-01-09,No hay riesgo,11:30,1.498,1.498,11-30,2018-01-09T11:30:00Z
2018-01-09,No hay riesgo,11:20,1.517,1.517,11-20,2018-01-09T11:20:00Z
2018-01-09,No hay riesgo,11:10,1.544,1.544,11-10,2018-01-09T11:10:00Z
2018-01-09,No hay riesgo,11:00,1.557,1.557,11-00,2018-01-09T11:00:00Z
2018-01-09,No hay riesgo,10:50,1.571,1.571,10-50,2018-01-09T10:50:00Z
2018-01-09,No hay riesgo,10:40,1.576,1.576,10-40,2018-01-09T10:40:00Z
2018-01-09,No hay riesgo,10:30,1.574,1.574,10-30,2018-01-09T10:30:00Z
2018-01-09,No hay riesgo,10:20,1.569,1.569,10-20,2018-01-09T10:20:00Z
2018-01-09,No hay riesgo,10:10,1.559,1.559,10-10,2018-01-09T10:10:00Z
2018-01-09,No hay riesgo,10:00,1.547,1.547,10-00,2018-01-09T10:00:00Z
2018-01-09,No hay riesgo,09:50,1.52,1.52,09-50,2018-01-09T09:50:00Z
2018-01-09,No hay riesgo,09:40,1.49,1.49,09-40,2018-01-09T09:40:00Z
2018-01-09,No hay riesgo,09:30,1.458,1.458,09-30,2018-01-09T09:30:00Z
2018-01-09,No hay riesgo,09:20,1.425,1.425,09-20,2018-01-09T09:20:00Z
2018-01-09,No hay riesgo,09:10,1.379,1.379,09-10,2018-01-09T09:10:00Z
2018-01-09,No hay riesgo,09:00,1.34,1.34,09-00,2018-01-09T09:00:00Z
2018-01-09,No hay riesgo,08:50,1.284,1.284,08-50,2018-01-09T08:50:00Z
2018-01-09,No hay riesgo,08:40,1.217,1.217,08-40,2018-01-09T08:40:00Z
2018-01-09,No hay riesgo,08:30,1.152,1.152,08-30,2018-01-09T08:30:00Z
2018-01-09,No hay riesgo,08:20,1.084,1.084,08-20,2018-01-09T08:20:00Z
2018-01-09,No hay riesgo,08:10,1.009,1.009,08-10,2018-01-09T08:10:00Z
2018-01-09,No hay riesgo,08:00,0.937,0.937,08-00,2018-01-09T08:00:00Z
2018-01-09,No hay riesgo,07:50,0.853,0.853,07-50,2018-01-09T07:50:00Z
2018-01-09,No hay riesgo,07:40,0.7842,0.7842,07-40,2018-01-09T07:40:00Z
2018-01-09,No hay riesgo,07:30,0.7236,0.7236,07-30,2018-01-09T07:30:00Z
2018-01-09,No hay riesgo,07:20,0.691,0.691,07-20,2018-01-09T07:20:00Z
2018-01-09,No hay riesgo,07:10,0.662,0.662,07-10,2018-01-09T07:10:00Z
2018-01-09,No hay riesgo,07:00,0.6541,0.6541,07-00,2018-01-09T07:00:00Z
2018-01-09,No hay riesgo,06:50,0.6595,0.6595,06-50,2018-01-09T06:50:00Z
2018-01-09,No hay riesgo,06:40,0.657,0.657,06-40,2018-01-09T06:40:00Z
2018-01-09,No hay riesgo,06:30,0.6502,0.6502,06-30,2018-01-09T06:30:00Z
2018-01-09,No hay riesgo,06:20,0.656,0.656,06-20,2018-01-09T06:20:00Z
2018-01-09,No hay riesgo,06:10,0.6557,0.6557,06-10,2018-01-09T06:10:00Z
2018-01-09,No hay riesgo,06:00,0.658,0.658,06-00,2018-01-09T06:00:00Z
2018-01-09,No hay riesgo,05:50,0.659,0.659,05-50,2018-01-09T05:50:00Z
2018-01-09,No hay riesgo,05:40,0.6633,0.6633,05-40,2018-01-09T05:40:00Z
2018-01-09,No hay riesgo,05:30,0.6633,0.6633,05-30,2018-01-09T05:30:00Z
2018-01-09,No hay riesgo,05:20,0.6639,0.6639,05-20,2018-01-09T05:20:00Z
2018-01-09,No hay riesgo,05:10,0.6631,0.6631,05-10,2018-01-09T05:10:00Z
2018-01-09,No hay riesgo,05:00,0.6666,0.6666,05-00,2018-01-09T05:00:00Z
2018-01-09,No hay riesgo,04:50,0.6658,0.6658,04-50,2018-01-09T04:50:00Z
2018-01-09,No hay riesgo,04:40,0.6699,0.6699,04-40,2018-01-09T04:40:00Z
2018-01-09,No hay riesgo,04:30,0.6761,0.6761,04-30,2018-01-09T04:30:00Z
2018-01-09,No hay riesgo,04:20,0.682,0.682,04-20,2018-01-09T04:20:00Z
2018-01-09,No hay riesgo,04:10,0.6856,0.6856,04-10,2018-01-09T04:10:00Z

