eguna,ordua,maila,arriskua
2017-11-10,13:00,"1.111m",Ez dago arriskurik
2017-11-10,12:50,"1.145m",Ez dago arriskurik
2017-11-10,12:40,"1.181m",Ez dago arriskurik
2017-11-10,12:30,"1.223m",Ez dago arriskurik
2017-11-10,12:20,"1.269m",Ez dago arriskurik
2017-11-10,12:10,"1.312m",Ez dago arriskurik
2017-11-10,12:00,"1.362m",Ez dago arriskurik
2017-11-10,11:50,"1.413m",Ez dago arriskurik
2017-11-10,11:40,"1.466m",Ez dago arriskurik
2017-11-10,11:30,"1.514m",Ez dago arriskurik
2017-11-10,11:20,"1.562m",Ez dago arriskurik
2017-11-10,11:10,"1.606m",Ez dago arriskurik
2017-11-10,11:00,"1.668m",Ez dago arriskurik
2017-11-10,10:50,"1.71m",Ez dago arriskurik
2017-11-10,10:40,"1.755m",Ez dago arriskurik
2017-11-10,10:30,"1.819m",Ez dago arriskurik
2017-11-10,10:20,"1.849m",Ez dago arriskurik
2017-11-10,10:10,"1.875m",Ez dago arriskurik
2017-11-10,10:00,"1.922m",Ez dago arriskurik
2017-11-10,09:50,"1.922m",Ez dago arriskurik
2017-11-10,09:40,"1.931m",Ez dago arriskurik
2017-11-10,09:30,"1.935m",Ez dago arriskurik
2017-11-10,09:20,"1.933m",Ez dago arriskurik
2017-11-10,09:10,"1.93m",Ez dago arriskurik
2017-11-10,09:00,"1.911m",Ez dago arriskurik
2017-11-10,08:50,"1.901m",Ez dago arriskurik
2017-11-10,08:40,"1.871m",Ez dago arriskurik
2017-11-10,08:30,"1.869m",Ez dago arriskurik
2017-11-10,08:20,"1.83m",Ez dago arriskurik
2017-11-10,08:10,"1.796m",Ez dago arriskurik
2017-11-10,08:00,"1.746m",Ez dago arriskurik
2017-11-10,07:50,"1.705m",Ez dago arriskurik
2017-11-10,07:40,"1.63m",Ez dago arriskurik
2017-11-10,07:30,"1.574m",Ez dago arriskurik
2017-11-10,07:20,"1.488m",Ez dago arriskurik
2017-11-10,07:10,"1.409m",Ez dago arriskurik
2017-11-10,07:00,"1.335m",Ez dago arriskurik
2017-11-10,06:50,"1.252m",Ez dago arriskurik
2017-11-10,06:40,"1.175m",Ez dago arriskurik
2017-11-10,06:30,"1.1m",Ez dago arriskurik
2017-11-10,06:20,"1.051m",Ez dago arriskurik
2017-11-10,06:10,"1.02m",Ez dago arriskurik
2017-11-10,06:00,"0.999m",Ez dago arriskurik
2017-11-10,05:50,"0.986m",Ez dago arriskurik
2017-11-10,05:40,"0.978m",Ez dago arriskurik
2017-11-10,05:30,"0.977m",Ez dago arriskurik
2017-11-10,05:20,"0.972m",Ez dago arriskurik
2017-11-10,05:10,"0.972m",Ez dago arriskurik
2017-11-10,05:00,"0.974m",Ez dago arriskurik
2017-11-10,04:50,"0.978m",Ez dago arriskurik
2017-11-10,04:40,"0.982m",Ez dago arriskurik
2017-11-10,04:30,"0.984m",Ez dago arriskurik
2017-11-10,04:20,"0.988m",Ez dago arriskurik
2017-11-10,04:10,"0.99m",Ez dago arriskurik
2017-11-10,04:00,"0.993m",Ez dago arriskurik
2017-11-10,03:50,"0.997m",Ez dago arriskurik
2017-11-10,03:40,1m,Ez dago arriskurik
2017-11-10,03:30,"1.004m",Ez dago arriskurik
2017-11-10,03:20,"1.008m",Ez dago arriskurik
2017-11-10,03:10,"1.012m",Ez dago arriskurik
2017-11-10,03:00,"1.016m",Ez dago arriskurik
2017-11-10,02:50,"1.021m",Ez dago arriskurik
2017-11-10,02:40,"1.026m",Ez dago arriskurik
2017-11-10,02:30,"1.032m",Ez dago arriskurik
2017-11-10,02:20,"1.037m",Ez dago arriskurik
2017-11-10,02:10,"1.044m",Ez dago arriskurik
